SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
4842,M3,4,Villa,Jaipur,"Private Pool, Lawn",Agoda,StayVista at Villa M3 - Farmstay,https://www.agoda.com/stayvista-at-shyam-aura/hotel/jaipur-in.html
4842,M3,4,Villa,Jaipur,"Private Pool, Lawn",Airbnb,4BHK Luxury Farmstay Villa w/Pool & Lawn in Jaipur,https://www.airbnb.co.in/rooms/1485275488232237697
4842,M3,4,Villa,Jaipur,"Private Pool, Lawn",Booking.com,StayVista's Villa M3 - Farmstay - 4BHK with Sports Turf & Private Pool,https://www.booking.com/hotel/in/stayvista-at-shyam-aura.html
4842,M3,4,Villa,Jaipur,"Private Pool, Lawn",MakeMyTrip,StayVista at Villa M3 - Farmstay,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202511281136081607&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5087,Canton,3,Villa,Nashik,Private Pool,Agoda,StayVista at Canton Villa,https://www.agoda.com/en-in/stayvista-at-canton-villa/hotel/nashik-in.html
5087,Canton,3,Villa,Nashik,Private Pool,Airbnb,3BR|Pool+AC+WIFI|StayVista| Canton Villa @Nashik,https://www.airbnb.co.in/rooms/1563472056139992908
5087,Canton,3,Villa,Nashik,Private Pool,Booking.com,StayVista's Canton Villa - 3BHK with Private Pool & Bathtub,https://www.booking.com/hotel/in/stayvista-at-canton-villa-with-outdoor-pool-ac-wifi.html
5087,Canton,3,Villa,Nashik,Private Pool,MakeMyTrip,StayVista at Canton Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512191431026017&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
4467,Bluejay,3,Villa,India,"Pool, Bonfire",Agoda,StayVista at Villa Bluejay,https://www.agoda.com/stayvista-at-eira-villa/hotel/solan-in.html
4467,Bluejay,3,Villa,India,"Pool, Bonfire",Airbnb,"StayVista at Villa Bluejay w/Bonfire, Outdoor Pool",https://www.airbnb.co.in/rooms/1541708963897012985
4467,Bluejay,3,Villa,India,"Pool, Bonfire",Booking.com,"StayVista at Villa Bluejay with Bonfire, Outdoor Pool",https://www.booking.com/hotel/in/stayvista-at-eira-villa-with-bonfire-heated-pool.html
4467,Bluejay,3,Villa,India,"Pool, Bonfire",MakeMyTrip,StayVista at Villa Bluejay,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202511280952495301&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
4995,Evaara Woods,6,Homestay,Shimla,Lawn,Agoda,StayVista at Evaara Woods,https://www.agoda.com/stayvista-at-evaara-woods/hotel/shimla-in.html
4995,Evaara Woods,6,Homestay,Shimla,Lawn,Airbnb,6BR | Hill Escape |StayVista| Evaara Woods @Shimla,https://www.airbnb.co.in/rooms/1564439667584675858
4995,Evaara Woods,6,Homestay,Shimla,Lawn,Booking.com,Evaara Woods by StayVista - 6BHK Homestay Near Tara Devi Railway Station,https://www.booking.com/hotel/in/stayvista-at-evaara-woods.html
4995,Evaara Woods,6,Homestay,Shimla,Lawn,MakeMyTrip,StayVista at Evaara Woods,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512031204491335&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
4825,Meadows Land,5,Villa,Lonavala,"Private Pool, Bonfire",Agoda,StayVista at Meadows Land,https://www.agoda.com/stayvista-at-meadows-land/hotel/lonavala-in.html
4825,Meadows Land,5,Villa,Lonavala,"Private Pool, Bonfire",Airbnb,StayVista at Meadows Land w/ Bonfire,https://www.airbnb.co.in/rooms/1515678426831263333
4825,Meadows Land,5,Villa,Lonavala,"Private Pool, Bonfire",Booking.com,StayVista's Meadows Land - 5BHK Villa with Home Theatre & Private Pool,https://www.booking.com/hotel/in/stayvista-at-meadows-land.html
